variant,auc,brier,accuracy,ece,auc_ci_95_lower,auc_ci_95_upper
random_forest,0.6613445378151261,0.21997575273834527,0.5942028985507246,0.15966664988761547,0.5100720984441915,0.7907666818849781
baseline,0.7252100840336135,0.2118353396654129,0.6666666666666666,0.1390245565469714,0.5931287878787879,0.8453926873779815
flat_confidence,0.7260504201680673,0.21183522857985793,0.6811594202898551,0.1389706019710311,0.5934275446775447,0.8468077837195485
nars_gated,0.7260504201680673,0.21219180711118052,0.6666666666666666,0.1402709990373255,0.5956742424242424,0.8459660682454799
