mean_predicted_probability,fraction_positives,count,variant
0.001998214912600815,0.0,5,baseline
0.002700516069307923,0.0,5,baseline
0.0060278776101768015,0.0,5,baseline
0.008858139510266483,0.0,4,baseline
0.013232975825667381,0.0,5,baseline
0.31776891723275186,0.4,5,baseline
0.8884819447994232,0.5,4,baseline
0.9799884200096131,1.0,5,baseline
0.9913660883903503,1.0,5,baseline
0.9959013819694519,1.0,5,baseline
0.0019114414724494834,0.0,5,nars_gated
0.002378685192629131,0.0,5,nars_gated
0.003597672448096169,0.0,5,nars_gated
0.004189364709394065,0.0,4,nars_gated
0.004999545531614683,0.0,5,nars_gated
0.2989440005610099,0.4,5,nars_gated
0.9153364317258902,0.5,4,nars_gated
0.9843582283377049,1.0,5,nars_gated
0.9926339311228836,1.0,5,nars_gated
0.9962312344116693,1.0,5,nars_gated
