epoch,train_loss,val_loss,val_auc
1,0.7781858682632447,0.6887755195299784,0.7109243697478991
2,0.6971643626689911,0.6888539989789327,0.7554621848739496
3,0.6901039242744446,0.6907185117403666,0.7436974789915967
4,0.7024337828159333,0.6694794098536173,0.689075630252101
5,0.6802055239677429,0.644864002863566,0.6697478991596638
6,0.6534479320049286,0.6158892114957174,0.7142857142857142
7,0.645729374885559,0.6379810174306234,0.7277310924369749
8,0.6438426911830902,0.5534453193346659,0.7907563025210084
9,0.6272489488124847,0.609332541624705,0.7571428571428572
10,0.6711601555347443,0.5611834228038788,0.7411764705882353
11,0.6219579458236695,0.5616864562034607,0.7403361344537814
12,0.6133906781673432,0.5958833197752634,0.7067226890756303
13,0.5985461413860321,0.6135781009991964,0.726890756302521
14,0.5927157729864121,0.6228968103726705,0.6823529411764706
15,0.6091224849224091,0.599163422981898,0.676470588235294
16,0.5902581006288529,0.6019072731335958,0.7226890756302521
17,0.5833205819129944,0.6394595503807068,0.7000000000000001
18,0.6007525503635407,0.6355413993199667,0.7033613445378152
19,0.6033558517694473,0.6196681559085846,0.6899159663865546
20,0.5842409312725068,0.614616851011912,0.6873949579831933
