gamma,baseline_auc,baseline_brier,baseline_accuracy,nars_gated_auc,nars_gated_brier,nars_gated_accuracy,auc_delta_gated_minus_baseline,brier_delta_gated_minus_baseline,accuracy_delta_gated_minus_baseline
0.25,0.73109243697479,0.20618906617164612,0.6956521739130435,0.7336134453781513,0.20600718072381646,0.6956521739130435,0.0025210084033613356,-0.000181885447829655,0.0
0.5,0.73109243697479,0.20618906617164612,0.6956521739130435,0.7336134453781513,0.2059895430402555,0.6956521739130435,0.0025210084033613356,-0.0001995231313906276,0.0
1.0,0.73109243697479,0.20618906617164612,0.6956521739130435,0.7336134453781513,0.20595694755647648,0.6956521739130435,0.0025210084033613356,-0.00023211861516964083,0.0
2.0,0.73109243697479,0.20618906617164612,0.6956521739130435,0.7336134453781513,0.20590257147308771,0.6956521739130435,0.0025210084033613356,-0.0002864946985584038,0.0
4.0,0.73109243697479,0.20618906617164612,0.6956521739130435,0.7361344537815127,0.20583765107839366,0.6956521739130435,0.005042016806722671,-0.0003514150932524551,0.0
