threshold,random_forest_net_benefit,baseline_net_benefit,flat_confidence_net_benefit,nars_gated_net_benefit,treat_all_net_benefit,treat_none_net_benefit
0.05,0.4660564454614798,0.4660564454614798,0.4660564454614798,0.4660564454614798,0.4660564454614798,0.0
0.1,0.4363929146537842,0.4363929146537842,0.4363929146537842,0.4363929146537842,0.4363929146537842,0.0
0.15000000000000002,0.41091219096334186,0.4057971014492754,0.4057971014492754,0.4057971014492754,0.4032395566922421,0.0
0.2,0.3876811594202899,0.39855072463768115,0.39855072463768115,0.39855072463768115,0.36594202898550726,0.0
0.25,0.3623188405797102,0.33816425120772947,0.33816425120772947,0.33816425120772947,0.32367149758454106,0.0
0.3,0.33126293995859213,0.3084886128364389,0.3084886128364389,0.3084886128364389,0.2753623188405797,0.0
0.35000000000000003,0.2686733556298774,0.29208472686733555,0.2998885172798216,0.2998885172798216,0.21962095875139348,0.0
0.4,0.24154589371980675,0.2318840579710145,0.2318840579710145,0.2318840579710145,0.1545893719806763,0.0
0.45,0.16600790513833996,0.16205533596837948,0.16205533596837948,0.17391304347826092,0.07773386034255603,0.0
0.5,0.0869565217391304,0.15942028985507245,0.17391304347826086,0.15942028985507245,-0.014492753623188415,0.0
0.55,0.07568438003220607,0.10789049919484699,0.10789049919484699,0.07890499194847019,-0.12721417069243174,0.0
0.6000000000000001,0.03623188405797097,0.03623188405797097,0.050724637681159354,0.021739130434782553,-0.26811594202898587,0.0
0.6500000000000001,0.02070393374741196,0.07453416149068322,0.04761904761904759,0.07453416149068322,-0.4492753623188412,0.0
0.7000000000000001,-0.0241545893719807,0.009661835748792258,0.009661835748792258,0.009661835748792258,-0.6908212560386477,0.0
0.7500000000000001,-0.028985507246376836,-0.043478260869565244,-0.043478260869565244,-0.043478260869565244,-1.0289855072463778,0.0
0.8,0.014492753623188406,0.0,0.0,0.0,-1.5362318840579716,0.0
0.8500000000000001,0.0,0.0,0.0,0.0,-2.381642512077297,0.0
0.9000000000000001,0.0,0.0,0.0,0.0,-4.0724637681159495,0.0
0.9500000000000001,0.0,0.0,0.0,0.0,-9.144927536231899,0.0
