epoch,train_loss,val_loss,val_auc
1,0.7871078848838806,0.6882720589637756,0.7252100840336134
2,0.7069686591625214,0.688499371210734,0.7243697478991596
3,0.7086197137832642,0.6825136144955953,0.7210084033613445
4,0.692240196466446,0.6573640902837118,0.7126050420168067
5,0.686939787864685,0.6529938379923502,0.7134453781512604
6,0.6553894579410553,0.5981938242912292,0.7151260504201681
7,0.6420394361019135,0.5763977567354838,0.7319327731092438
8,0.633667117357254,0.5603070259094238,0.7403361344537815
9,0.6409004151821136,0.6043947438398997,0.7613445378151261
10,0.6195500135421753,0.5447413126627604,0.7470588235294118
11,0.6140645325183869,0.5881863832473755,0.7529411764705882
12,0.6002011835575104,0.5855950117111206,0.746218487394958
13,0.6214192360639572,0.5470710496107737,0.7478991596638656
14,0.5947990417480469,0.5782938102881113,0.7411764705882353
15,0.5888211667537689,0.6046765247980753,0.7159663865546219
16,0.6164797246456146,0.6468160152435303,0.7378151260504202
17,0.5792756527662277,0.5915544629096985,0.7420168067226891
18,0.5840621501207351,0.5871975918610891,0.7319327731092438
19,0.6285501688718795,0.5974070032437643,0.73109243697479
20,0.6019505321979522,0.6294271349906921,0.7302521008403361
21,0.5717771172523498,0.6262380282084147,0.7218487394957983
22,0.5802090615034103,0.6525829533735911,0.7218487394957983
