variant,auc,brier,accuracy,ece,auc_ci_95_lower,auc_ci_95_upper,brier_ci_95_lower,brier_ci_95_upper,ece_ci_95_lower,ece_ci_95_upper
random_forest,0.6613445378151261,0.2199757527383453,0.5942028985507246,0.15966664988761545,0.5100720984441915,0.7907666818849781,0.18953733342289616,0.24980725468298623,0.13173260446334506,0.282415426658176
baseline,0.73109243697479,0.21131697297096252,0.6811594202898551,0.1184147227069606,0.5974753869216433,0.8461637931034482,0.18247724510729313,0.24257818944752216,0.10735998972710492,0.25169606376709286
flat_confidence,0.7327731092436974,0.21090691822520885,0.6811594202898551,0.11779116849243783,0.6028159501996712,0.8479409969115851,0.18159944440132217,0.2426503573051238,0.11300419198069299,0.26405413712371323
mc_confidence_only,0.73109243697479,0.2109503031817101,0.6811594202898551,0.11842502253891472,0.6007795416316232,0.8453026463963964,0.1819828027429445,0.2418053373429521,0.10413311026053661,0.24812524541198114
nars_gated,0.73109243697479,0.21094128690864986,0.6811594202898551,0.11837152315381069,0.6007795416316232,0.8453026463963964,0.18197620270611292,0.2417248622037831,0.10417136747209355,0.2480979029540966
