gamma,baseline_auc,baseline_brier,baseline_accuracy,nars_gated_auc,nars_gated_brier,nars_gated_accuracy,auc_delta_gated_minus_baseline,brier_delta_gated_minus_baseline,accuracy_delta_gated_minus_baseline
0.25,0.8803399865554915,0.056527189910411835,0.9285454677618666,0.8802354330492291,0.05647888873594085,0.9286908482954133,-0.00010455350626237259,-4.830117447098686e-05,0.00014538053354662406
0.5,0.8803399865554915,0.056527189910411835,0.9285454677618666,0.8802409288104558,0.0564773408872976,0.92861815802864,-9.90577450357133e-05,-4.9849023114237334e-05,7.269026677336754e-05
1.0,0.8803399865554915,0.056527189910411835,0.9285454677618666,0.8802433415836773,0.056474326431288524,0.9286908482954133,-9.664497181416376e-05,-5.2863479123310686e-05,0.00014538053354662406
2.0,0.8803399865554915,0.056527189910411835,0.9285454677618666,0.8802429394548069,0.05646863238110265,0.92861815802864,-9.704710068458855e-05,-5.8557529309187506e-05,7.269026677336754e-05
4.0,0.8803399865554915,0.056527189910411835,0.9285454677618666,0.8802393873164533,0.056458657733374495,0.9284727774950934,-0.00010059923903815715,-6.853217703733927e-05,-7.269026677325652e-05
