variant,auc,brier,accuracy,ece,auc_ci_95_lower,auc_ci_95_upper,brier_ci_95_lower,brier_ci_95_upper,ece_ci_95_lower,ece_ci_95_upper
random_forest,0.8768362712198378,0.05816876926300937,0.9257832376244821,0.007372339899687431,0.8669175671816576,0.8867520461147212,0.05520334008196045,0.061424960465216116,0.005960075247146911,0.01253608523842408
baseline,0.8803399865554915,0.056527189910411835,0.9285454677618666,0.007496397690061542,0.8700149115209564,0.8902125095917065,0.05370839033275843,0.05966444090008736,0.004926247690678755,0.012111412822749816
flat_confidence,0.8802329532545297,0.0564804631786328,0.92861815802864,0.006181551976017444,0.8698110721699586,0.8901487833176899,0.053663574504632834,0.059637559928028494,0.004212556351544684,0.010976080611085072
mc_confidence_only,0.8802442128628962,0.056467597686861395,0.92861815802864,0.00580839851849837,0.8698039179666095,0.8901385187218775,0.053647274113433806,0.05962474919111201,0.004090190769679299,0.010617366644800855
nars_gated,0.8802429394548069,0.05646863238110265,0.92861815802864,0.005833076653150351,0.8698052485145314,0.8901395464331447,0.05364745727904195,0.05962490301719128,0.004110097461528351,0.010635780679421997
