mean_predicted_probability,fraction_positives,count,variant
0.0002979651162790698,0.0029069767441860465,1376,random_forest
0.003522892441860465,0.002180232558139535,1376,random_forest
0.008334545454545456,0.01090909090909091,1375,random_forest
0.015339752906976745,0.015261627906976744,1376,random_forest
0.02484193313953488,0.023982558139534885,1376,random_forest
0.03861454545454546,0.03272727272727273,1375,random_forest
0.05861191860465117,0.05450581395348837,1376,random_forest
0.09205272727272727,0.09381818181818181,1375,random_forest
0.15984011627906977,0.17732558139534885,1376,random_forest
0.4094712936046512,0.4491279069767442,1376,random_forest
0.004416413629071538,0.0029069767441860465,1376,baseline
0.007479230652639079,0.002180232558139535,1376,baseline
0.012233860459517349,0.0036363636363636364,1375,baseline
0.0196511869096782,0.015988372093023256,1376,baseline
0.030270841912106546,0.02180232558139535,1376,baseline
0.04453071391853419,0.03563636363636364,1375,baseline
0.06444618841741494,0.057412790697674417,1376,baseline
0.0982710062102838,0.09527272727272727,1375,baseline
0.17094310976261662,0.16497093023255813,1376,baseline
0.4552723526044987,0.4629360465116279,1376,baseline
0.0042307255388488165,0.0029069767441860465,1376,flat_confidence
0.006981583705268667,0.002180232558139535,1376,flat_confidence
0.01138558607190932,0.004363636363636364,1375,flat_confidence
0.018513220263160837,0.015261627906976744,1376,flat_confidence
0.02897991183522515,0.02180232558139535,1376,flat_confidence
0.04317105406357707,0.03563636363636364,1375,flat_confidence
0.06293210628837621,0.056686046511627904,1376,flat_confidence
0.09634274249098458,0.09381818181818181,1375,flat_confidence
0.16872928201763066,0.16715116279069767,1376,flat_confidence
0.4553953708670853,0.4629360465116279,1376,flat_confidence
0.004249200556562649,0.0029069767441860465,1376,mc_confidence_only
0.006980020318785798,0.002180232558139535,1376,mc_confidence_only
0.011309922788163956,0.004363636363636364,1375,mc_confidence_only
0.018295990220354975,0.014534883720930232,1376,mc_confidence_only
0.028612005791635066,0.02252906976744186,1376,mc_confidence_only
0.04268080148296397,0.03563636363636364,1375,mc_confidence_only
0.06242637983081503,0.057412790697674417,1376,mc_confidence_only
0.09571282170805505,0.09309090909090909,1375,mc_confidence_only
0.16771061431306586,0.16569767441860464,1376,mc_confidence_only
0.45453030708637004,0.4643895348837209,1376,mc_confidence_only
0.004249227834000903,0.0029069767441860465,1376,nars_gated
0.006980302683385641,0.002180232558139535,1376,nars_gated
0.01131036436277568,0.004363636363636364,1375,nars_gated
0.018296700219900187,0.014534883720930232,1376,nars_gated
0.028613775929385042,0.02252906976744186,1376,nars_gated
0.042683218590353296,0.03490909090909091,1375,nars_gated
0.062430879292841045,0.05813953488372093,1376,nars_gated
0.0957210286276307,0.09309090909090909,1375,nars_gated
0.16773339407077156,0.16569767441860464,1376,nars_gated
0.4546200596024456,0.4643895348837209,1376,nars_gated
