threshold,random_forest_net_benefit,baseline_net_benefit,flat_confidence_net_benefit,nars_gated_net_benefit,treat_all_net_benefit,treat_none_net_benefit
0.05,0.0606313340959435,0.060822624271662656,0.0609488757876373,0.06099095962629551,0.03819299648408657,0.0
0.1,0.047612124736497785,0.048193646870684004,0.04823403035222472,0.048137109996527025,-0.015240725933464178,0.0
0.15000000000000002,0.03815811415792602,0.03927839944584361,0.038825154253021986,0.03874391219015773,-0.07496076863543269,0.0
0.2,0.031874681980082864,0.03300138111506869,0.032765137748055534,0.03298320854837537,-0.1421458166751472,0.0
0.25,0.026483487194398008,0.028131133241258998,0.028034212885561294,0.02798575270771244,-0.218288871120157,0.0
0.3,0.02316742645302651,0.024050093978130613,0.024070862625780117,0.02401894100665635,-0.30530950477159685,0.0
0.35000000000000003,0.01818374981128488,0.019945090890791255,0.020112837660268057,0.020235851957884375,-0.40571792821556585,0.0
0.4,0.01591916842334811,0.01761527464805795,0.017712195003755662,0.017809115359453363,-0.5228610889001963,0.0
0.45,0.013844191717274513,0.016692328533572994,0.017168119370634456,0.017055779867439388,-0.6613030060729413,0.0
0.5,0.012066584284364322,0.014828814421748927,0.014901504688522207,0.014901504688522207,-0.8274333066802355,0.0
0.55,0.009885876281165952,0.01362538667183575,0.01355269640506247,0.013512312923521761,-1.0304814518669287,0.0
0.6000000000000001,0.007923239078287417,0.012720796685323834,0.01297521261903031,0.01275714181871047,-1.284291633350295,0.0
0.6500000000000001,0.006479818066646588,0.010550473005950214,0.010477782739176933,0.010259711938857097,-1.6106190095431947,0.0
0.7000000000000001,0.004652177073489859,0.008068619611833975,0.008141309878607254,0.007850548811514138,-2.0457221778003927,0.0
0.7500000000000001,0.0023260885367449285,0.005742531075089043,0.005815221341862322,0.005669840808315764,-2.654866613360473,0.0
0.8,0.0013811150686923019,0.004942938140582976,0.005306389474449371,0.005088318674129534,-3.56858326670059,0.0
0.8500000000000001,0.001308424801919023,0.002229168181047224,0.002883380582006736,0.0025926195149136196,-5.091444355600789,0.0
0.9000000000000001,0.0002907610670931162,7.269026677327906e-05,0.0001453805335465581,7.269026677327906e-05,-8.13716653340119,0.0
0.9500000000000001,0.0,0.0,0.0,0.0,-17.27433306680238,0.0
