epoch,train_loss,val_loss,val_auc
1,0.2327048678010229,0.2066711253590054,0.875262088624329
2,0.20891026052690687,0.20558023507948275,0.8749232184469673
3,0.20656212774061022,0.20730132968337447,0.8769981955497907
4,0.20564511311905725,0.2019407942339226,0.878137562808181
5,0.20515065557426876,0.20230534065652778,0.8791917102443
6,0.2030175824960073,0.20170864518041964,0.8786304313991481
7,0.20403950495852363,0.20266298342634131,0.8794926082100879
8,0.2032568816627775,0.20132330501521076,0.8796032098104657
9,0.20267710562736269,0.20254155441566749,0.8804782114512404
10,0.20184333255839726,0.19991446424413611,0.8815740144704263
11,0.20275613689233388,0.19904314367859452,0.8818644985404474
12,0.2023370364119136,0.1994779082360091,0.8809323376711394
13,0.20143895135039375,0.20123449243881084,0.8808282991690581
14,0.20289775327084555,0.20000444076679372,0.8810498707069636
15,0.20126330545024265,0.20320489837063682,0.8802655469753091
16,0.2012503763276433,0.20447106493843925,0.8810052014563114
17,0.2007415768882585,0.2018116072372154,0.8805686214787972
18,0.20144061141070865,0.20175882511668736,0.880699548592778
19,0.20093375976596559,0.19951932353002053,0.8811082354025309
20,0.200783989968754,0.20025480952527788,0.8819342147172524
21,0.20112690116677964,0.20008422599898446,0.8812204108070923
22,0.20079864833563094,0.2002653667220363,0.8826782557588508
23,0.19998060261446332,0.2060786987896319,0.8822158921808855
